table_name	conname	contype	definition
test_run	FK_test_run_evaluation_config_id	f	FOREIGN KEY ("evaluationConfigId") REFERENCES evaluation_config(id) ON DELETE SET NULL
test_run	PK_011c050f566e9db509a0fadb9b9	p	PRIMARY KEY (id)
token_exchange_jti	PK_d8e8a6f737d530fdd2dd716e89c	p	PRIMARY KEY (jti)
trusted_key	FK_8c2938d746943dd8f608d23c891	f	FOREIGN KEY ("sourceId") REFERENCES trusted_key_source(id) ON DELETE CASCADE
trusted_key	PK_dc7d93798f3dbb6959f974c97e1	p	PRIMARY KEY ("sourceId", kid)
trusted_key_source	PK_99e8908ce2c2cdccce487db7fc6	p	PRIMARY KEY (id)
"user"	FK_eaea92ee7bfb9c1b6cd01505d56	f	FOREIGN KEY ("roleSlug") REFERENCES role(slug)
"user"	PK_ea8f538c94b6e352418254ed6474a81f	p	PRIMARY KEY (id)
"user"	UQ_e12875dfb3b1d92d7d7c5377e2	u	UNIQUE (email)
user_api_keys	FK_e131705cbbc8fb589889b02d457	f	FOREIGN KEY ("userId") REFERENCES "user"(id) ON DELETE CASCADE
user_api_keys	PK_978fa5caa3468f463dac9d92e69	p	PRIMARY KEY (id)
user_favorites	FK_1dd5c393ad0517be3c31a7af836	f	FOREIGN KEY ("userId") REFERENCES "user"(id) ON DELETE CASCADE
user_favorites	PK_6c472a19a7423cfbbf6b7c75939	p	PRIMARY KEY (id)
user_favorites	UQ_cf6ae658ead9ffc124723413c65	u	UNIQUE ("userId", "resourceId", "resourceType")
variables	FK_42f6c766f9f9d2edcc15bdd6e9b	f	FOREIGN KEY ("projectId") REFERENCES project(id) ON DELETE CASCADE
variables	variables_pkey	p	PRIMARY KEY (id)
variables	variables_value_max_len	c	CHECK (((value IS NULL) OR (char_length(value) <= 1000)))
webhook_entity	PK_b21ace2e13596ccd87dc9bf4ea6	p	PRIMARY KEY ("webhookPath", method)
webhook_entity	fk_webhook_entity_workflow_id	f	FOREIGN KEY ("workflowId") REFERENCES workflow_entity(id) ON DELETE CASCADE
workflow_builder_session	FK_00290cdeee4d4d7db84709be936	f	FOREIGN KEY ("userId") REFERENCES "user"(id) ON DELETE CASCADE
workflow_builder_session	FK_7983c618db48f47bf5a4cc1e1e4	f	FOREIGN KEY ("workflowId") REFERENCES workflow_entity(id) ON DELETE CASCADE
workflow_builder_session	PK_e69ef0d385986e273423b0e8695	p	PRIMARY KEY (id)
workflow_builder_session	UQ_ec2aa73632932d485a1d5192ce1	u	UNIQUE ("workflowId", "userId")
workflow_dependency	FK_a4ff2d9b9628ea988fa9e7d0bf8	f	FOREIGN KEY ("workflowId") REFERENCES workflow_entity(id) ON DELETE CASCADE
workflow_dependency	PK_52325e34cd7a2f0f67b0f3cad65	p	PRIMARY KEY (id)
workflow_entity	FK_08d6c67b7f722b0039d9d5ed620	f	FOREIGN KEY ("activeVersionId") REFERENCES workflow_history("versionId") ON DELETE RESTRICT
workflow_entity	fk_workflow_parent_folder	f	FOREIGN KEY ("parentFolderId") REFERENCES folder(id) ON DELETE CASCADE
workflow_entity	workflow_entity_pkey	p	PRIMARY KEY (id)
workflow_history	FK_1e31657f5fe46816c34be7c1b4b	f	FOREIGN KEY ("workflowId") REFERENCES workflow_entity(id) ON DELETE CASCADE
workflow_history	PK_b6572dd6173e4cd06fe79937b58	p	PRIMARY KEY ("versionId")
workflow_publication_outbox	CHK_workflow_publication_outbox_status	c	CHECK (((status)::text = ANY ((ARRAY['pending'::character varying, 'in_progress'::character varying, 'completed'::character varying, 'partial_success'::character varying, 'failed'::character varying])::text[])))
workflow_publication_outbox	PK_b3e2eeee36a4bd044d56468d311	p	PRIMARY KEY (id)
