schemaname	tablename	indexname	indexdef
public	clients	idx_clients_restaurant_email	CREATE INDEX idx_clients_restaurant_email ON public.clients USING btree (restaurant_id, email)
public	clients	idx_clients_restaurant_phone	CREATE INDEX idx_clients_restaurant_phone ON public.clients USING btree (restaurant_id, phone)
public	conversation_states	conversation_states_pkey	CREATE UNIQUE INDEX conversation_states_pkey ON public.conversation_states USING btree (id)
public	conversation_states	conversation_states_unique_conversation	CREATE UNIQUE INDEX conversation_states_unique_conversation ON public.conversation_states USING btree (restaurant_id, conversation_id, channel_type)
public	conversation_states	idx_conversation_states_conversation	CREATE INDEX idx_conversation_states_conversation ON public.conversation_states USING btree (conversation_id)
public	credential_dependency	IDX_5ec8e8c8d3539f3696cf73b43b	CREATE INDEX "IDX_5ec8e8c8d3539f3696cf73b43b" ON public.credential_dependency USING btree ("credentialId")
public	credential_dependency	IDX_91ee85fa9619dd6776725e117b	CREATE INDEX "IDX_91ee85fa9619dd6776725e117b" ON public.credential_dependency USING btree ("dependencyType", "dependencyId")
public	credential_dependency	IDX_credential_dependency_credentialId_dependencyType_dependenc	CREATE UNIQUE INDEX "IDX_credential_dependency_credentialId_dependencyType_dependenc" ON public.credential_dependency USING btree ("credentialId", "dependencyType", "dependencyId")
public	credential_dependency	PK_80212729ed0ffa0709417ab28f4	CREATE UNIQUE INDEX "PK_80212729ed0ffa0709417ab28f4" ON public.credential_dependency USING btree (id)
public	credentials_entity	credentials_entity_pkey	CREATE UNIQUE INDEX credentials_entity_pkey ON public.credentials_entity USING btree (id)
public	credentials_entity	idx_07fde106c0b471d8cc80a64fc8	CREATE INDEX idx_07fde106c0b471d8cc80a64fc8 ON public.credentials_entity USING btree (type)
public	credentials_entity	pk_credentials_entity_id	CREATE UNIQUE INDEX pk_credentials_entity_id ON public.credentials_entity USING btree (id)
public	data_table	PK_e226d0001b9e6097cbfe70617cb	CREATE UNIQUE INDEX "PK_e226d0001b9e6097cbfe70617cb" ON public.data_table USING btree (id)
