table_schema	table_name	ordinal_position	column_name	data_type	udt_name	is_nullable	column_default
public	ai_builder_temporary_workflow	3	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	ai_builder_temporary_workflow	4	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	annotation_tag_entity	1	id	character varying	varchar	NO	
public	annotation_tag_entity	2	name	character varying	varchar	NO	
public	annotation_tag_entity	3	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	annotation_tag_entity	4	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	auth_identity	1	userId	uuid	uuid	YES	
public	auth_identity	2	providerId	character varying	varchar	NO	
public	auth_identity	3	providerType	character varying	varchar	NO	
public	auth_identity	4	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	auth_identity	5	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	auth_provider_sync_history	1	id	integer	int4	NO	nextval('auth_provider_sync_history_id_seq'::regclass)
public	auth_provider_sync_history	2	providerType	character varying	varchar	NO	
public	auth_provider_sync_history	3	runMode	text	text	NO	
public	auth_provider_sync_history	4	status	text	text	NO	
public	auth_provider_sync_history	5	startedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP
public	auth_provider_sync_history	6	endedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP
public	auth_provider_sync_history	7	scanned	integer	int4	NO	
public	auth_provider_sync_history	8	created	integer	int4	NO	
public	auth_provider_sync_history	9	updated	integer	int4	NO	
public	auth_provider_sync_history	10	disabled	integer	int4	NO	
public	auth_provider_sync_history	11	error	text	text	YES	
public	binary_data	1	fileId	uuid	uuid	NO	
public	binary_data	2	sourceType	character varying	varchar	NO	
public	binary_data	3	sourceId	character varying	varchar	NO	
public	binary_data	4	data	bytea	bytea	NO	
public	binary_data	5	mimeType	character varying	varchar	YES	
public	binary_data	6	fileName	character varying	varchar	YES	
public	binary_data	7	fileSize	integer	int4	NO	
public	binary_data	8	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	binary_data	9	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	channel_conversation_logs	1	id	bigint	int8	NO	nextval('channel_conversation_logs_id_seq'::regclass)
public	channel_conversation_logs	2	restaurant_id	bigint	int8	YES	
public	channel_conversation_logs	3	conversation_id	text	text	NO	
public	channel_conversation_logs	4	external_event_id	text	text	NO	
public	channel_conversation_logs	5	call_id	text	text	YES	
public	channel_conversation_logs	6	sms_id	text	text	YES	
public	channel_conversation_logs	7	email_message_id	text	text	YES	
public	channel_conversation_logs	8	instagram_message_id	text	text	YES	
public	channel_conversation_logs	9	source	text	text	NO	
public	channel_conversation_logs	10	channel	text	text	NO	
public	channel_conversation_logs	11	provider	text	text	YES	
public	channel_conversation_logs	12	phone	text	text	YES	
public	channel_conversation_logs	13	email	text	text	YES	
public	channel_conversation_logs	14	summary	text	text	YES	
public	channel_conversation_logs	15	transcript	text	text	YES	
public	channel_conversation_logs	16	user_message	text	text	YES	
public	channel_conversation_logs	17	raw_payload	jsonb	jsonb	YES	
public	channel_conversation_logs	18	created_at	timestamp with time zone	timestamptz	NO	now()
public	chat_hub_agent_tools	1	agentId	uuid	uuid	NO	
public	chat_hub_agent_tools	2	toolId	uuid	uuid	NO	
public	chat_hub_agents	1	id	uuid	uuid	NO	
public	chat_hub_agents	2	name	character varying	varchar	NO	
public	chat_hub_agents	3	description	character varying	varchar	YES	
public	chat_hub_agents	4	systemPrompt	text	text	NO	
public	chat_hub_agents	5	ownerId	uuid	uuid	NO	
public	chat_hub_agents	6	credentialId	character varying	varchar	YES	
public	chat_hub_agents	7	provider	character varying	varchar	NO	
public	chat_hub_agents	8	model	character varying	varchar	NO	
public	chat_hub_agents	9	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	chat_hub_agents	10	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	chat_hub_agents	12	icon	json	json	YES	
public	chat_hub_agents	13	files	json	json	NO	'[]'::json
public	chat_hub_agents	14	suggestedPrompts	json	json	NO	'[]'::json
public	chat_hub_messages	1	id	uuid	uuid	NO	
public	chat_hub_messages	2	sessionId	uuid	uuid	NO	
public	chat_hub_messages	3	previousMessageId	uuid	uuid	YES	
public	chat_hub_messages	4	revisionOfMessageId	uuid	uuid	YES	
public	chat_hub_messages	6	retryOfMessageId	uuid	uuid	YES	
public	chat_hub_messages	7	type	character varying	varchar	NO	
public	chat_hub_messages	8	name	character varying	varchar	NO	
public	chat_hub_messages	10	content	text	text	NO	
public	chat_hub_messages	11	provider	character varying	varchar	YES	
public	chat_hub_messages	12	model	character varying	varchar	YES	
public	chat_hub_messages	13	workflowId	character varying	varchar	YES	
public	chat_hub_messages	15	executionId	integer	int4	YES	
public	chat_hub_messages	16	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	chat_hub_messages	17	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	chat_hub_messages	18	agentId	uuid	uuid	YES	
public	chat_hub_messages	19	status	character varying	varchar	NO	'success'::character varying
public	chat_hub_messages	20	attachments	json	json	YES	
public	chat_hub_session_tools	1	sessionId	uuid	uuid	NO	
public	chat_hub_session_tools	2	toolId	uuid	uuid	NO	
public	chat_hub_sessions	1	id	uuid	uuid	NO	
public	chat_hub_sessions	2	title	character varying	varchar	NO	
public	chat_hub_sessions	3	ownerId	uuid	uuid	NO	
public	chat_hub_sessions	4	lastMessageAt	timestamp with time zone	timestamptz	NO	
public	chat_hub_sessions	5	credentialId	character varying	varchar	YES	
public	chat_hub_sessions	6	provider	character varying	varchar	YES	
public	chat_hub_sessions	7	model	character varying	varchar	YES	
public	chat_hub_sessions	8	workflowId	character varying	varchar	YES	
public	chat_hub_sessions	9	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	chat_hub_sessions	10	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	chat_hub_sessions	11	agentId	uuid	uuid	YES	
public	chat_hub_sessions	12	agentName	character varying	varchar	YES	
public	chat_hub_sessions	14	type	character varying	varchar	NO	'production'::character varying
public	chat_hub_tools	1	id	uuid	uuid	NO	
public	chat_hub_tools	2	name	character varying	varchar	NO	
public	chat_hub_tools	3	type	character varying	varchar	NO	
public	chat_hub_tools	4	typeVersion	double precision	float8	NO	
public	chat_hub_tools	5	ownerId	uuid	uuid	NO	
public	chat_hub_tools	6	definition	json	json	NO	
public	chat_hub_tools	7	enabled	boolean	bool	NO	true
public	chat_hub_tools	8	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	chat_hub_tools	9	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	client_notifications	1	id	bigint	int8	NO	nextval('client_notifications_id_seq'::regclass)
public	client_notifications	2	restaurant_id	bigint	int8	NO	
public	client_notifications	3	reservation_id	bigint	int8	YES	
public	client_notifications	4	client_id	bigint	int8	YES	
public	client_notifications	5	channel	text	text	NO	'whatsapp'::text
public	client_notifications	6	scheduled_at	timestamp with time zone	timestamptz	NO	
public	client_notifications	7	sent_at	timestamp with time zone	timestamptz	YES	
public	client_notifications	8	status	text	text	NO	'pending'::text
